1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
---,---,4.3,1.5,15.2,9.5,22.1,11.6,21.4,12.8,27.5,15.5,---,---,31.6,20.8,---,---,17.9,14.1,---,---,---,---
---,---,9.8,4.2,12.0,6.0,20.3,7.7,24.1,13.2,29.3,18.8,---,---,28.1,19.8,---,---,26.1,15.0,---,---,---,---
---,---,9.8,4.0,13.5,5.5,19.6,9.1,19.9,13.7,30.3,16.8,---,---,28.3,19.3,---,---,16.4,10.3,---,---,---,---
---,---,6.4,2.8,18.6,5.3,20.5,9.7,14.1,11.6,29.5,19.3,---,---,27.1,19.7,---,---,17.0,8.6,---,---,---,---
---,---,5.4,2.0,15.1,8.9,20.3,10.0,12.6,8.1,26.7,18.0,---,---,30.7,17.3,---,---,14.2,9.8,---,---,---,---
---,---,8.2,-0.1,13.8,4.6,16.6,9.3,8.8,6.1,24.9,17.2,---,---,31.8,21.2,---,---,15.8,9.2,---,---,---,---
---,---,7.5,-1.0,15.2,15.2,20.1,7.0,16.4,7.1,28.8,18.6,---,---,32.6,21.0,---,---,14.9,7.8,---,---,---,---
---,---,6.3,1.0,15.5,10.4,24.0,10.5,18.2,7.1,31.1,18.7,---,---,26.6,21.1,---,---,15.7,5.1,---,---,---,---
---,---,6.5,1.4,16.0,9.7,24.8,13.5,13.0,10.2,31.7,18.0,---,---,33.0,19.9,---,---,21.3,8.9,---,---,---,---
---,---,8.1,0.5,14.2,9.9,23.7,14.0,21.1,10.0,33.1,21.5,---,---,34.2,22.0,---,---,18.7,12.3,---,---,---,---
---,---,9.1,5.0,13.9,4.4,17.7,9.7,23.1,11.3,32.9,21.8,---,---,35.3,22.3,---,---,20.6,10.7,---,---,---,---
---,---,7.3,2.1,11.3,3.0,13.5,8.3,24.7,14.0,33.1,21.4,---,---,35.7,22.9,---,---,23.8,9.0,---,---,---,---
---,---,6.3,1.9,9.6,1.1,14.1,8.1,23.0,12.9,35.2,23.4,---,---,28.9,21.6,---,---,22.8,10.6,---,---,---,---
---,---,13.3,5.4,12.6,4.3,16.0,8.3,12.9,7.8,34.6,22.9,---,---,22.9,16.7,---,---,25.3,12.7,---,---,---,---
---,---,12.9,3.4,13.7,6.1,18.2,9.2,12.8,9.3,34.5,23.3,---,---,27.1,14.6,---,---,24.7,13.5,---,---,---,---
---,---,13.2,2.1,12.9,7.2,19.7,7.0,14.5,9.8,33.9,22.1,---,---,26.7,16.8,---,---,22.1,12.9,---,---,---,---
---,---,14.5,2.4,21.6,5.7,19.5,8.3,17.3,9.0,28.8,20.3,---,---,28.2,17.3,---,---,22.4,10.8,---,---,---,---
---,---,15.0,2.9,13.6,7.6,21.6,10.3,24.4,12.2,31.6,19.6,---,---,31.2,19.0,---,---,---,---,---,---,---,---
---,---,14.4,2.1,11.7,6.7,24.3,11.3,24.3,13.4,30.9,20.7,---,---,33.9,20.3,---,---,---,---,---,---,---,---
---,---,13.0,6.4,13.8,5.2,23.5,10.2,22.1,13.6,29.9,19.8,---,---,34.8,22.1,---,---,---,---,---,---,---,---
---,---,13.4,4.8,16.4,3.4,24.0,13.2,21.7,12.9,31.1,19.7,---,---,29.7,20.5,---,---,---,---,---,---,---,---
---,---,13.6,-1.3,19.9,6.0,19.6,11.2,16.3,14.4,31.2,19.1,---,---,30.6,19.3,---,---,---,---,---,---,---,---
---,---,4.5,-3.0,21.6,8.7,14.2,9.3,19.1,13.7,27.1,18.9,---,---,32.0,21.3,---,---,---,---,---,---,---,---
---,---,5.1,-2.2,23.0,9.8,24.6,11.1,21.8,13.0,30.5,20.9,---,---,33.7,21.0,---,---,---,---,---,---,---,---
---,---,10.4,-0.6,16.6,7.5,26.4,13.9,26.1,13.4,33.6,22.0,---,---,32.8,23.4,---,---,---,---,---,---,---,---
---,---,15.6,3.1,13.8,5.1,29.1,15.2,27.8,15.0,35.3,22.8,---,---,25.2,25.2,---,---,---,---,---,---,---,---
---,---,18.8,5.7,15.5,7.3,19.8,12.0,22.2,17.0,36.6,24.4,---,---,30.9,21.2,---,---,---,---,---,---,---,---
---,---,20.4,5.6,16.1,4.4,17.2,11.4,22.2,16.1,29.4,22.0,---,---,34.6,22.5,---,---,---,---,---,---,---,---
---,---,,,18.4,5.8,15.0,9.6,24.6,15.2,29.8,19.8,---,---,35.2,22.1,---,---,---,---,---,---,---,---
3.4,1.1,,,20.0,7.1,19.7,10.1,17.3,12.8,32.6,20.5,---,---,35.7,21.8,---,---,---,---,---,---,---,---
6.8,0.8,,,23.5,7.9,,,23.7,13.1,,,---,---,34.5,22.2,,,---,---,,,---,---
