1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
5.3,4.6,1.4,0.3,---,---,22.2,11.4,26.1,12.5,24.9,13.8,26.6,15.7,32.1,22.1,23.1,19.5,23.8,16.2,---,---,---,---
8.1,3.4,3.5,0.8,---,---,18.9,10.2,25.1,13.1,24.1,14.6,29.9,16.2,34.3,22.2,25.2,18.6,22,16.6,---,---,---,---
5.7,2.6,8,0,---,---,22.9,10.4,21.3,11.8,24.1,13.8,27.9,17.1,32.3,21.8,29.6,20,19.2,19.2,---,---,---,---
8.7,5.3,5.3,-2.2,---,---,19.2,11.7,17.3,10.1,27.1,13.4,29.6,16.3,27.3,20.7,28.1,19.6,19.2,14.9,---,---,---,---
11.8,7.6,4.9,-1.8,---,---,20.6,12,18.8,7.6,29.2,14.3,32.8,18,31.7,20.9,27.1,19.2,19.9,12.5,---,---,---,---
15.3,6.7,4.8,1.7,---,---,18.9,10.9,21.1,7.9,31.5,17.3,34.4,20.9,28.7,20.2,28,19.3,20.1,13,---,---,---,---
9.4,4.8,5.8,3.1,---,---,22.4,9.6,24.5,11.2,32.8,17.7,35.9,21.9,26.6,20.6,25.5,19.2,18.4,14,15.5,0.0,---,---
9,6.3,9.1,4.7,---,---,23.7,9.7,24.1,12.8,35.6,17.9,28.9,22.2,31.9,21.5,29.2,19.7,19.3,13.5,15.2,12.4,---,---
6.9,5.1,10.4,5.2,---,---,16.8,8.4,25.7,11.7,36.8,20.3,25.8,18.2,31.3,19.6,28.9,18.3,24.4,14.5,17.6,12.2,---,---
11.4,5,11.8,4.2,---,---,14.5,6.8,24.7,15.7,38.5,21.4,28.3,15.4,30.2,21.5,23.2,19.5,26.5,15.7,13.2,10.7,---,---
9,3.8,9.9,6.8,---,---,19.5,7.4,19.6,10.3,36.8,21.6,22.5,18.7,32.7,22.2,22.5,18.6,26.1,16,11.5,8.8,---,---
9.5,2.6,10.3,4.3,---,---,20.4,7.2,20.8,10.2,35,22.2,28.9,17.9,29.8,20.7,26.2,18.7,25.1,16,13.8,8.6,---,---
9.2,1.1,12.3,3.1,---,---,20.8,7.5,18.7,11.5,29.8,21,30.8,19.2,31.5,19.9,21.5,18,26.7,17,15.7,10.1,---,---
9.9,4.2,10.1,3.6,---,---,19.2,8.3,17.8,10.2,25.7,18.2,30.5,19.5,26.7,17.2,21.6,18.1,26.2,17.2,17.8,10.5,---,---
7.5,4.4,12.2,1.2,---,---,14.5,5.5,14,10.9,27.5,15.1,33.8,20.5,27,16.5,23.3,17.5,20.7,16.1,15.8,8.4,---,---
8.4,2.1,14.1,3.8,---,---,15.9,5.5,20.6,11.2,26.9,14.4,34.3,23.2,24.3,16,25.9,18.4,24.7,16.2,9.3,7.1,---,---
10.2,4.1,7.9,6.3,---,---,14.9,7.8,21.8,10.6,26.5,17.5,33.1,23,25.7,15.6,24,16.9,18.6,15.5,10.6,8.0,---,---
13.1,7.6,11.2,3.7,---,---,23.4,10.1,19,12,29.3,16.7,33,21.8,27.3,15.4,24.3,16,22.6,14.4,10.4,9.1,---,---
10.3,7.8,10.6,6.7,---,---,21.9,11.4,24.4,12.2,30.4,17.1,34.5,22.8,28.5,18.6,24.2,15.6,21.5,11.8,11.1,8.0,---,---
12,9.9,14.2,6.5,---,---,20.7,9.8,28.3,13.8,24.9,17.1,34.4,22.7,22.5,19.6,25.9,16.8,25.5,10.9,13.9,5.4,---,---
11.4,5.5,7.5,4.6,---,---,21.1,9.9,30,15,25.1,14.4,35.7,23.9,24.1,16.5,27.7,19.5,21.1,14.7,10.6,3.3,---,---
5.9,2.1,10.6,6,---,---,18,13.1,30.6,17.2,27.6,15.8,25.8,21.5,15.4,15.4,20.3,13.6,15.2,8.5,7.9,3.7,---,---
3.9,0.7,13.7,7.3,---,---,23.9,11.6,31.6,18.6,31,16.8,27,20.3,15.4,15.4,18.4,10.4,13,8.6,7.8,4.3,---,---
1.7,-0.5,12.9,6.4,---,---,23.5,14.7,32.5,18.4,23.5,15.8,29.7,19.5,23.4,15.4,20.1,9.2,11.5,7.4,7.6,4.4,---,---
1.9,-4.8,9.6,6.3,---,---,17.1,13.5,29.8,18.2,24,15.9,32.5,20.4,24.3,13.5,19.1,10.5,13.8,7.4,6.0,3.5,---,---
-1.2,-5.1,13.5,3.1,---,---,21,13.6,30.2,17.4,24.9,13.8,32.4,20.8,24.6,14.1,20.6,13.7,13.2,5.3,5.6,2.7,---,---
0.2,-6,13.1,7.1,---,---,24.3,13.5,28,18.5,27.5,13.8,28.7,22.1,25.8,15.5,21.6,12.8,16.3,5.7,2.8,0.5,---,---
1.7,-1.6,11.2,5.6,---,---,27.2,13.2,25.1,15.8,29.2,15.6,27.9,20.2,25.9,13.8,23.3,13.4,16.2,2.6,1.9,0.2,---,---
1.3,-1.9,,,23.3,0.0,23.9,13.9,23.4,13.9,30.7,18.8,30.6,20.9,26.4,13.9,23.9,12.5,14.2,5.4,3.4,1.6,---,---
2.4,-2.6,,,23.1,9.4,25.9,12.7,15.3,10.6,21.4,17.1,30.3,21.4,28.8,15.8,25.2,12.7,12.3,6.3,3.6,1.2,---,---
1.9,-1.8,,,24.1,9.3,,,19,11.3,,,28.7,21.2,24.5,19.1,,,13,3, ,,---,---
