1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
-1.4,-5.8,11.2,3.6,8.7,2.6,---,---,---,---,25.4,15.9,33.3,21.9,---,---,28.7,16.3,23.9,13.9,---,---,6.6,1.4
-3.5,-5.5,14.5,7.1,11.6,2.6,---,---,---,---,23.8,15.7,33.2,22,---,---,30.5,17.7,21.6,14.2,---,---,8.5,2.7
-2.2,-7.3,12.5,4.6,10.2,3,---,---,---,---,26,15.6,27.3,19.6,---,---,30.6,18.2,18.5,13.3,3.1,2.6,5.6,1
-6.1,-8.7,8.1,3.4,14.2,6.1,---,---,---,---,25.4,17.8,28.1,17.4,---,---,29.7,18.6,14.3,11.8,9.7,0.1,6,-1.9
-3.6,-6.2,8.3,2.5,11.1,3,---,---,---,---,26.7,17.1,29.3,18.5,---,---,24.1,17.1,12.7,7.4,7.5,2.9,4,-2.9
0.8,-3.9,10.1,1.1,12,6.4,---,---,---,---,28.5,17.6,28.3,20.4,---,---,23.2,15.7,10,6.7,15.6,7.5,2.2,-3.8
5.7,-0.8,12.1,1.4,9.4,6.1,---,---,---,---,25,16,25.9,17,---,---,33.2,18.3,12.6,4,10,6,5,-2.2
3.3,-3.3,10.1,4.3,11.6,4.5,---,---,---,---,26.1,15.7,28.7,16.5,---,---,31.6,17.8,15.6,5.7,8.4,4.7,-0.1,-2.6
2.1,-0.2,13.3,7.8,14.4,2,---,---,22.9,13.8,27.6,16.7,29.5,20.7,25.1,21.4,31.3,18.7,16.2,8.5,9.5,3,7.9,-1.4
4.4,1,10.6,3.7,15.5,5.1,---,---,15.6,12.3,23.2,17.1,31.3,18.7,24.4,14.6,32.4,18.6,16.2,7.5,7.5,1.5,13,5.7
7.8,1.3,9.6,3.3,16.3,9.3,---,---,19.8,13.1,25.7,15.5,33.5,20,20.2,13.5,32.9,19.7,10.8,8.2,8.9,2.9,14,2.6
9.8,4.6,9.2,1.5,11.9,7.9,---,---,21,13.2,23.1,16,35,22,23.7,12.1,32.5,19.9,13.3,7.9,7.1,3.3,8.7,1.8
9.6,5,6,4.5,14.2,6.8,---,---,21.8,14,24.9,15.9,31.9,20.5,25.5,16.3,31.4,19.6,12.2,6.1,6.9,1.1,3.2,-1.3
8.8,2.9,12.6,3.5,13.5,3.2,---,---,20.5,13.7,26.6,16.3,22.5,16,28.7,16.7,32.7,18.4,14.1,6.1,8.3,1.6,2.2,-3
4.7,2.5,9.5,7.5,6.2,2.5,---,---,14.8,9.7,22.8,17,23.8,14.7,29.3,18.8,28.7,18.9,16.1,7.7,7.4,-0.1,1.5,-2
5.7,0.8,8,6.5,11.4,2.6,---,---,16.8,7.9,26.9,15,20.4,15,28.8,17.9,29.3,18.3,18.9,11.5,4.4,1.5,5.3,-1.4
0.9,-2.9,9.9,4.4,14.8,3.7,---,---,15.6,8.6,29.8,19.7,19.5,15.2,25.5,16.4,23.8,17,12.1,9.6,8.4,2.8,-0.6,-5.8
2.1,-3.8,11.8,7.9,15.1,5,---,---,18.9,11.2,29.1,17.1,29.2,17.3,25.5,16.4,24.6,15.6,14.4,9,15.6,3.8,0,-2.4
0.3,-5.7,8.2,3.9,12.9,3.9,---,---,20.8,10.6,29.3,17.5,27.9,17.9,28,18.2,24.7,16.3,12.1,9.5,14.3,9.5,-1.3,-2.9
1.9,-3.7,9.7,3.4,11.9,1.9,---,---,24,13,28.3,18.1,28.4,18.3,30.1,18.2,21.3,13.5,12,9.2,15.3,9.3,-1.9,-3
1.6,-2.5,13.5,4.5,12.9,5.2,---,---,26.6,13.6,30.4,17.5,30.7,18,30.9,19.7,20.2,13.1,10.6,9,13.6,7,-1.2,-3.2
1.8,-5.4,17,6.3,14,6.6,---,---,27.3,14.6,33,19.5,30.5,19.4,19.7,15.2,20.1,12.4,15.9,7.8,12.6,5.3,-0.6,-2.2
0,-6.5,11.9,8.6,10.3,3.3,---,---,28.5,15.4,35.1,21.1,30.4,21.4,27.6,16.2,22.2,10.3,13.3,5.8,12,4.1,-0.1,-2.4
-1.5,-2.1,9.6,3.7,13.5,4.1,---,---,20.3,14.1,40.4,22.2,32.3,21.9,28.3,16.9,23.8,11.8,15.5,9.7,11.1,3.8,1,-1
3.5,-1.7,6.7,1.4,12.2,2.3,---,---,25.7,14,35.4,24.7,30,22.6,31.2,19.2,21.2,12.4,17.1,12.7,10.5,6.5,8.1,0.2
4,1.7,9.3,2.4,12.8,7.4,---,---,27,15.3,31.1,20.9,32.2,22.3,26.9,20,22.4,12.6,17,10.4,11.5,5.3,11.7,7.8
4,1.1,8.7,1.6,14,5.3,---,---,28.1,16.4,26.5,19,31.3,20.9,30.9,16.9,23.3,12.4,13.6,8.3,11.1,4.5,10.6,4.6
9.3,0.8,10.6,3.4,14.7,5.7,---,---,28.8,18,27.8,17.8,24.6,20.2,31.1,18.1,24.3,10.1,13.9,5.1,5.4,1.2,6.7,2.3
8.1,4.7,11.1,7.7,16.4,7.9,---,---,30.4,19.9,30.9,19.6,30.8,19.9,32.7,18.6,26.9,15,15.7,9,5.7,0.2,5.7,0
6.7,0.8,,,18.3,8.6,---,---,28,18.4,31.7,20.7,32.4,21.4,29.2,20.5,25.8,13.1,14.2,8,6.2,-0.1,4.2,-3
8.1,2.8,,,21.9,9, ,,26.7,16.6,,,31.8,21.7,33.1,18.3,,,12.9,5.8, ,,3.8,-3.8
