1.1,1.2,2.1,2.2,3.1,3.2,4.1,4.2,5.1,5.2,6.1,6.2,7.1,7.2,8.1,8.2,9.1,9.2,10.1,10.2,11.1,11.2,12.1,12.2
-0.9,-4.9,3.7,-1.4,9.3,5.9,11,3.9,---,---,---,---,---,---,28.8,17.1,34.6,21.7,---,---,---,---,13.3,7.3
4.6,-1.8,6.1,0.8,11.9,3.9,11.2,3.8,---,---,---,---,---,---,29.2,18.9,29.5,20.8,---,---,---,---,10.7,6.2
8.3,1.9,6.1,0.1,9.7,4,10.2,2.7,---,---,---,---,---,---,30.8,21.6,28.7,17.9,---,---,---,---,9.9,6
5.8,1.5,2.6,0.1,13.3,1.7,13.8,2.7,---,---,---,---,---,---,33.4,21.2,26.3,18.2,---,---,---,---,9.1,5.4
3.6,0.6,6,-1.3,9.4,2.6,12.7,2.6,---,---,---,---,---,---,32.7,21.7,21.1,15.6,---,---,---,---,7,4.2
5.1,-4,5.9,-0.1,10.5,2.3,10.1,3.2,---,---,---,---,---,---,35.2,21,21.4,14.7,---,---,---,---,5.7,4.6
-3.7,-6.9,6.3,-2.2,13,-0.2,13.6,4.6,---,---,---,---,---,---,36,24,20.3,13.5,---,---,---,---,6,4.5
-2,-4.9,4.4,-2.2,14.2,1.1,15.5,7.3,---,---,---,---,---,---,36.7,23.3,19.7,12.5,---,---,---,---,6.1,5
9.2,-2.3,2.7,-2.8,14,1.6,19,5.7,---,---,---,---,---,---,36.6,24.2,22.6,10.7,---,---,---,---,5.1,4.2
16.4,5,7.9,2.7,18.2,3.2,19.9,6.5,---,---,---,---,---,---,36.8,23.2,18.7,13.6,---,---,---,---,8,4.5
16.4,4.2,12.1,1.9,15,5.6,22.7,8.2,---,---,---,---,---,---,37.1,23.5,17.7,14.2,---,---,---,---,7.4,1.4
8.9,2.7,9.6,1.8,9.5,5.1,23.5,13.3,---,---,---,---,29.7,24.6,38.6,22.9,21.8,15.3,---,---,---,---,5.4,1.8
9.3,1.8,9.6,-0.6,9.9,5.4,23.7,11.4,---,---,---,---,25.7,20.5,37.3,25.7,24.8,13.2,---,---,---,---,4.9,0.1
5.3,-0.4,10.8,0.2,8.2,5,16.6,7.8,---,---,---,---,27.8,19.6,36.8,25.9,26.9,15.2,---,---,---,---,6,0.1
11.2,3.2,12.2,1,14,5.6,24.9,10.5,---,---,---,---,---,---,36.7,24.8,29.1,20,---,---,---,---,2.7,0.4
6.7,2.8,11,1.3,15,7.8,29.3,11.7,---,---,---,---,33.8,24.8,32.5,21.6,30,18.3,---,---,---,---,7.2,1.4
7.3,2.1,4.9,-0.9,17.1,5.7,26.1,13.4,---,---,---,---,35.2,23.5,28.6,19.2,33.7,21.4,---,---,---,---,2.4,0.9
7,4.3,9.2,-2.7,14.1,4.6,14.6,6.5,---,---,---,---,36.5,23.7,19.3,19.3,30.8,20.3,---,---,---,---,4.5,1.8
7.1,3.9,7.8,0.7,14.6,3.3,16.6,4.6,---,---,---,---,35.3,22.7,19.3,17.6,27.8,18.9,---,---,---,---,4.8,3.5
7.8,4.5,9.3,-1.3,13.8,3.4,18.5,8.1,---,---,---,---,32.4,25.7,20.8,16.8,24,15.9,---,---,---,---,4.6,3.8
7.1,4.8,11.6,1.2,17,2.1,19.3,8.9,---,---,---,---,34.8,22.9,25.7,16.6,22,12.5,---,---,---,---,5.5,2.4
8.3,6.5,10.4,3.4,16.4,5.2,21.6,11.6,---,---,---,---,---,---,22.5,16.4,22.4,11.3,---,---,---,---,7.5,1.8
8.7,6.4,9.1,6.9,14.5,1.9,22.7,9.5,---,---,---,---,37.8,24.5,24.7,16.7,26.2,14.7,---,---,---,---,5.5,2.9
7,2.4,9.6,7.5,16.5,4.3,24.9,11.9,---,---,---,---,35.2,23.0,27.8,16.3,25.8,14,---,---,---,---,5,2.5
2.6,0.6,13.3,6.8,17.6,7.1,23.5,13,---,---,---,---,35.6,18.7,25.5,19.6,18.9,16.1,---,---,---,---,7.4,2.7
5.3,-0.3,7.4,6,20.5,9.7,23.6,12.9,---,---,---,---,26.8,20.1,28.8,18,16.5,14.4,---,---,---,---,3.8,2.2
3.6,-1.9,7.8,4.5,14.1,8.7,26,12.3,---,---,---,---,24.6,17.5,29.7,18,17.9,13.7,---,---,---,---,3.1,0.7
8.5,-1.7,10.3,5.8,14.3,7.4,19.9,8.4,---,---,---,---,25.1,17.8,34.1,20.3,16.2,12.5,---,---,---,---,2.5,-0.4
1,-1.3,,,15.7,5.1,19.6,7.9,---,---,---,---,22.1,18.0,35.5,20.8,17.7,11.8,---,---,---,---,8.3,1.2
5.8,0.6,,,13.3,6.6,19.8,8.3,---,---,---,---,22.5,17.9,35.2,22,14.2,11.3,---,---,---,---,3.8,-2.4
7.7,1,,,13.7,4.6,,,---,---, ,,26.9,17.6,35.6,22.3,,,---,---, ,,1.9,-5
